Calculating packet loss...
2 2 2 
1 1 1 
1 1 1 
1 1 1 
0 0 0 
1 1 1 
6 4 4 
4 6 9 
10 13 13 
1 1 1 
2 2 2 
2 2 2 
1 1 1 
13 12 12 
14 15 10 
9 14 8 
11 11 13 
12 12 17 
15 12 10 
15 13 16 
13 19 17 
21 28 24 
15 10 12 
9 12 19 
10 9 9 
14 11 14 
6 8 12 
12 7 8 
7 7 6 
8 12 12 
10 6 6 
9 14 9 
9 16 14 
12 11 11 
20 24 18 
9 6 6 
7 5 5 
10 9 6 
7 10 5 
7 7 5 
4 5 12 
4 7 2 
9 8 8 
4 5 2 
7 5 8 
8 5 4 
10 8 11 
23 21 15 
3 7 5 
3 4 3 
6 6 5 
9 8 3 
4 3 6 
4 6 3 
4 4 2 
5 2 3 
3 2 3 
6 8 7 
7 6 4 
13 16 12 
22 28 14 
4 4 4 
14 3 7 
6 8 4 
9 2 3 
